Expediente,Fecha resolucion,Sala,PDF link
CFP 3017/2013,14/07/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4420349&tipo=corrupcion-administrativa
CFP 3017/2013,30/06/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4381680&tipo=corrupcion-administrativa
CFP 3017/2013,16/06/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4338564&tipo=corrupcion-administrativa
CFP 3017/2013,14/06/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4335095&tipo=corrupcion-administrativa
CFP 3017/2013,31/05/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4284854&tipo=corrupcion-administrativa
CFP 3017/2013,16/05/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4241425&tipo=corrupcion-administrativa
CFP 3017/2013,28/04/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4186818&tipo=corrupcion-administrativa
CFP 3017/2013,25/04/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4173873&tipo=corrupcion-administrativa
CFP 3017/2013,14/04/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4139157&tipo=corrupcion-administrativa
CFP 3017/2013,14/04/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4139140&tipo=corrupcion-administrativa
CFP 3017/2013,31/03/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4091425&tipo=corrupcion-administrativa
CFP 3017/2013,22/12/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=3880520&tipo=corrupcion-administrativa
CFP 3017/2013,14/12/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=3854549&tipo=corrupcion-administrativa
CFP 3017/2013,15/06/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=3362509&tipo=corrupcion-administrativa
CFP 3017/2013,28/05/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=3314646&tipo=corrupcion-administrativa
CFP 3017/2013,22/04/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=3217347&tipo=corrupcion-administrativa
CFP 3017/2013,27/03/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=3164221&tipo=corrupcion-administrativa
CFP 3017/2013,27/03/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=3164220&tipo=corrupcion-administrativa
CFP 3017/2013,04/02/2015, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=1887924&tipo=corrupcion-administrativa
CFP 3017/2013,22/12/2014, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=1862204&tipo=corrupcion-administrativa
CFP 3017/2013,20/08/2014, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=1136013&tipo=corrupcion-administrativa
CFP 3017/2013,16/07/2014, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=1000251&tipo=corrupcion-administrativa
CFP 3017/2013,12/06/2014, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=621193&tipo=corrupcion-administrativa
CFP 1196/2017,15/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5622721&tipo=corrupcion-administrativa
CFP 3732/2016,12/09/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5732496&tipo=corrupcion-administrativa
CFP 3732/2016,12/09/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5732482&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5689836&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5689771&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5689041&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5689168&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5689038&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5689556&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5689026&tipo=corrupcion-administrativa
CFP 3732/2016,31/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5688964&tipo=corrupcion-administrativa
CFP 3732/2016,17/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5635093&tipo=corrupcion-administrativa
CFP 3732/2016,15/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5622928&tipo=corrupcion-administrativa
CFP 3732/2016,03/08/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5572606&tipo=corrupcion-administrativa
